station1,station2,line
Shibuya,Omotesando,G
Omotesando,Gaiemmae,G
Gaiemmae,AoyamaItchome,G
AoyamaItchome,AkasakaMitsuke,G
AkasakaMitsuke,KokkaiGijidomaeTameikeSanno,G
KokkaiGijidomaeTameikeSanno,Toranomon,G
Toranomon,Shimbashi,G
Shimbashi,Ginza,G
Ginza,Kyobashi,G
Kyobashi,Nihombashi,G
Nihombashi,Mitsukoshimae,G
Mitsukoshimae,Kanda,G
Kanda,Suehirocho,G
Suehirocho,UenoHirokoji,G
UenoHirokoji,Ueno,G
Ueno,Inaricho,G
Inaricho,Tawaramachi,G
Tawaramachi,Asakusa,G
Ogikubo,MinamiAsagaya,M
MinamiAsagaya,ShinKoenji,M
ShinKoenji,HigashiKoenji,M
HigashiKoenji,ShinNakano,M
ShinNakano,NakanoSakaue,M
Honancho,NakanoFujimicho,M
NakanoFujimicho,NakanoShimbashi,M
NakanoShimbashi,NakanoSakaue,M
NakanoSakaue,NishiShinjuku,M
NishiShinjuku,Shinjuku,M
Shinjuku,ShinjukuSanchome,M
ShinjukuSanchome,ShinjukuGyoemmae,M
ShinjukuGyoemmae,YotsuyaSanchome,M
YotsuyaSanchome,Yotsuya,M
Yotsuya,AkasakaMitsuke,M
AkasakaMitsuke,KokkaiGijidomaeTameikeSanno,M
KokkaiGijidomaeTameikeSanno,Kasumigaseki,M
Kasumigaseki,Ginza,M
Ginza,Tokyo,M
Tokyo,Otemachi,M
Otemachi,Awajicho,M
Awajicho,Ochanomizu,M
Ochanomizu,HongoSanchome,M
HongoSanchome,Korakuen,M
Korakuen,Myogadani,M
Myogadani,ShinOtsuka,M
ShinOtsuka,Ikebukuro,M
Nakameguro,Ebisu,H
Ebisu,Hiroo,H
Hiroo,Roppongi,H
Roppongi,Kamiyacho,H
Kamiyacho,ToranomonHills,H
ToranomonHills,Kasumigaseki,H
Kasumigaseki,Hibiya,H
Hibiya,Ginza,H
Ginza,HigashiGinza,H
HigashiGinza,Tsukiji,H
Tsukiji,Hatchobori,H
Hatchobori,Kayabacho,H
Kayabacho,Ningyocho,H
Ningyocho,Kodemmacho,H
Kodemmacho,Akihabara,H
Akihabara,NakaOkachimachi,H
NakaOkachimachi,Ueno,H
Ueno,Iriya,H
Iriya,Minowa,H
Minowa,MinamiSenju,H
MinamiSenju,KitaSenju,H
Nakano,Ochiai,T
Ochiai,Takadanobaba,T
Takadanobaba,Waseda,T
Waseda,Kagurazaka,T
Kagurazaka,Iidabashi,T
Iidabashi,Kudanshita,T
Kudanshita,Takebashi,T
Takebashi,Otemachi,T
Otemachi,Nihombashi,T
Nihombashi,Kayabacho,T
Kayabacho,MonzenNakacho,T
MonzenNakacho,Kiba,T
Kiba,Toyocho,T
Toyocho,Minamisunamachi,T
Minamisunamachi,NishiKasai,T
NishiKasai,Kasai,T
Kasai,Urayasu,T
Urayasu,MinamiGyotoku,T
MinamiGyotoku,Gyotoku,T
Gyotoku,Myoden,T
Myoden,BarakiNakayama,T
BarakiNakayama,NishiFunabashi,T
YoyogiUehara,YoyogiKoen,C
YoyogiKoen,MeijiJingumae,C
MeijiJingumae,Omotesando,C
Omotesando,Nogizaka,C
Nogizaka,Akasaka,C
Akasaka,KokkaiGijidomaeTameikeSanno,C
KokkaiGijidomaeTameikeSanno,Kasumigaseki,C
Kasumigaseki,Hibiya,C
Hibiya,Nijubashimae,C
Nijubashimae,Otemachi,C
Otemachi,ShinOchanomizu,C
ShinOchanomizu,Yushima,C
Yushima,Nezu,C
Nezu,Sendagi,C
Sendagi,NishiNippori,C
NishiNippori,Machiya,C
Machiya,KitaSenju,C
KitaSenju,Ayase,C
Ayase,KitaAyase,C
Wakoshi,ChikatetsuNarimasu,Y
ChikatetsuNarimasu,ChikatetsuAkatsuka,Y
ChikatetsuAkatsuka,Heiwadai,Y
Heiwadai,Hikawadai,Y
Hikawadai,KotakeMukaihara,Y
KotakeMukaihara,Senkawa,Y
Senkawa,Kanamecho,Y
Kanamecho,Ikebukuro,Y
Ikebukuro,HigashiIkebukuro,Y
HigashiIkebukuro,Gokokuji,Y
Gokokuji,Edogawabashi,Y
Edogawabashi,Iidabashi,Y
Iidabashi,Ichigaya,Y
Ichigaya,Kojimachi,Y
Kojimachi,Nagatacho,Y
Nagatacho,Sakuradamon,Y
Sakuradamon,Yurakucho,Y
Yurakucho,GinzaItchome,Y
GinzaItchome,Shintomicho,Y
Shintomicho,Tsukishima,Y
Tsukishima,Toyosu,Y
Toyosu,Tatsumi,Y
Tatsumi,Shinkiba,Y
Shibuya,Omotesando,Z
Omotesando,AoyamaItchome,Z
AoyamaItchome,Nagatacho,Z
Nagatacho,Hanzomon,Z
Hanzomon,Kudanshita,Z
Kudanshita,Jimbocho,Z
Jimbocho,Otemachi,Z
Otemachi,Mitsukoshimae,Z
Mitsukoshimae,Suitengumae,Z
Suitengumae,KiyosumiShirakawa,Z
KiyosumiShirakawa,Sumiyoshi,Z
Sumiyoshi,Kinshicho,Z
Kinshicho,Oshiage,Z
Meguro,Shirokanedai,N
Shirokanedai,ShirokaneTakanawa,N
ShirokaneTakanawa,AzabuJuban,N
AzabuJuban,RoppongiItchome,N
RoppongiItchome,KokkaiGijidomaeTameikeSanno,N
KokkaiGijidomaeTameikeSanno,Nagatacho,N
Nagatacho,Yotsuya,N
Yotsuya,Ichigaya,N
Ichigaya,Iidabashi,N
Iidabashi,Korakuen,N
Korakuen,Todaimae,N
Todaimae,HonKomagome,N
HonKomagome,Komagome,N
Komagome,Nishigahara,N
Nishigahara,Oji,N
Oji,OjiKamiya,N
OjiKamiya,Shimo,N
Shimo,AkabaneIwabuchi,N
Wakoshi,ChikatetsuNarimasu,F
ChikatetsuNarimasu,ChikatetsuAkatsuka,F
ChikatetsuAkatsuka,Heiwadai,F
Heiwadai,Hikawadai,F
Hikawadai,KotakeMukaihara,F
KotakeMukaihara,Senkawa,F
Senkawa,Kanamecho,F
Kanamecho,Ikebukuro,F
Ikebukuro,Zoshigaya,F
Zoshigaya,NishiWaseda,F
NishiWaseda,HigashiShinjuku,F
HigashiShinjuku,ShinjukuSanchome,F
ShinjukuSanchome,KitaSando,F
KitaSando,MeijiJingumae,F
MeijiJingumae,Shibuya,F
